ref_area.label;source.label;indicator.label;classif1.label;time;obs_value
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;2530604
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;201
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;2069737
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;259025
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;1
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;1419055
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;625206
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;487749
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;198568
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;107533
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;256119
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;5507
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;16846
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;233766
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;10213
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;152033
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;514686
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;256068
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;78853
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;2103446
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;5160822
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;597729
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;376843
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;630079
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;111118
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;231685
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;5319
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;2589
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;5
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;2516
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;42919
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;5112597
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;6802
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;5315
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;140964
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;259937
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;1549
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;14292
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;13643
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;1738
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;50
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;8601
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;125766
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;30538
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;14
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;333222
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;3806
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;9887
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;21639
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;4816
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;10919
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;260
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;14688
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;6
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;2530604
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;49681
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;70878
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;80481
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;38621
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;1584965
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;17812
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;135862
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;292476
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;259025
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;1
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;1419055
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;92527
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;406703
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;125976
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;30
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;402776
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;9208
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;25413
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;20083
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;198568
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;107533
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;256119
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;3106
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;2235
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;5562
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;9
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;1
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;2147
Angola;LFS - Employment Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Not classified;2019;231619
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;1265
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;232177
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;957095
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;68333
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;7064
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;460553
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;1
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;459176
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;1
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;138481
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;14
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;118685
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;5514
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;0
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;89067
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;11685
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;71692
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;6
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;343403
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;68266
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;237
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;38576
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;205875
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;131
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;54281
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;14143
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;6791
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;1265
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;16
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;155603
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;60154
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;20718
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;220739
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;454493
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;143845
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;117299
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;68333
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;7064
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;460553
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;0
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;0
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;1
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;454219
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;0
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;4
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;1
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;138481
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;1056
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;6284
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;6731
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;3022
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;3319
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;44
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;68557
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;5514
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;0
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;89067
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;1355
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;6949
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;3
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;0
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;1
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;66657
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;4027
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;6
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;343403
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;7485
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;40172
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;20608
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;10269
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;174721
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;0
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;20599
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;30751
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;38576
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;205875
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;6138
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;98897
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;25625
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;6026
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;39188
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;4064
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;4963
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;14143
Albania;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2019;6791
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;7388315
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;2662451
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;3207648
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;1435218
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Total;2019;82998
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;165
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;21493
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;87
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Agriculture;2019;56387
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;681115
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;253194
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;373213
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;53107
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Manufacturing;2019;2
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;1289764
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;280273
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;813431
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Construction;2019;196
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;3080235
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;1340588
United Arab Emirates;LFS - Labour Force Survey;Employment by economic activity and occupation (thousands);Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2019;1421848
