"Year","Country_of_origin","Country of asylum","Refugees",Asylum-seekers,"Returned refugees","IDPs of concern to UNHCR","Returned IDPss","Stateless persons","Others of concern","Other people in need of international protection","Host Community"
1973,Albania,-,2090,0,0,0,0,0,0,,0
1973,Angola,-,426550,0,0,0,0,0,0,,0
1973,Burundi,-,131895,0,0,0,0,0,0,,0
1973,Bulgaria,-,340,0,0,0,0,0,0,,0
1973,Cambodia,-,35000,0,0,0,0,0,0,,0
1973,Chad,-,1500,0,0,0,0,0,0,,0
1973,"Dem. Rep. of the Congo",-,43380,0,310,0,0,0,0,,0
1973,Czechia,-,60,0,0,0,0,0,0,,0
1973,Ethiopia,-,46300,0,0,0,0,0,0,,0
1973,Guinea-Bissau,-,84000,0,0,0,0,0,0,,0
1973,Greece,-,5900,0,0,0,0,0,0,,0
1973,Hungary,-,170,0,0,0,0,0,0,,0
1973,Malawi,-,100,0,0,0,0,0,0,,0
1973,Mozambique,-,69800,0,0,0,0,0,0,,0
1973,Namibia,-,3410,0,0,0,0,0,0,,0
1973,Poland,-,100,0,0,0,0,0,0,,0
1973,Romania,-,90,0,0,0,0,0,0,,0
1973,"South Africa",-,940,0,0,0,0,0,0,,0
1973,"Russian Federation",-,110,0,0,0,0,0,0,,0
1973,Rwanda,-,163595,0,600,0,0,0,0,,0
1973,"Serbia and Kosovo: S/RES/1244 (1999)",-,130,0,0,0,0,0,0,,0
1973,Spain,-,390,0,0,0,0,0,0,,0
1973,Sudan,-,13050,0,119880,0,0,0,0,,0
1973,Uganda,-,950,0,0,0,0,0,0,,0
1973,Zambia,-,750,0,0,0,0,0,0,,0
1973,Tibetan,-,66840,0,0,0,0,0,0,,0
1973,"Unknown ",-,1803895,0,110,0,0,0,0,,0
1974,Albania,-,380,0,0,0,0,0,0,,0
1974,Angola,-,497390,0,0,0,0,0,0,,0
1974,Burundi,-,120880,0,0,0,0,0,0,,0
1974,"Bolivia (Plurinational State of)",-,1650,0,0,0,0,0,0,,0
1974,Bulgaria,-,300,0,0,0,0,0,0,,0
1974,Chile,-,13550,0,0,0,0,0,0,,0
1974,"Dem. Rep. of the Congo",-,39820,0,0,0,0,0,0,,0
1974,Cuba,-,1600,0,0,0,0,0,0,,0
1974,Czechia,-,50,0,0,0,0,0,0,,0
1974,"Equatorial Guinea",-,1000,0,0,0,0,0,0,,0
1974,Ethiopia,-,49200,0,0,0,0,0,0,,0
1974,Guinea-Bissau,-,90000,0,0,0,0,0,0,,0
1974,Greece,-,580,0,0,0,0,0,0,,0
1974,Haiti,-,1000,0,0,0,0,0,0,,0
1974,Hungary,-,150,0,0,0,0,0,0,,0
1974,Lesotho,-,110,0,0,0,0,0,0,,0
1974,Malawi,-,80,0,0,0,0,0,0,,0
1974,Mozambique,-,80960,0,7240,0,0,0,0,,0
1974,Namibia,-,3420,0,0,0,0,0,0,,0
1974,Pakistan,-,0,0,119610,0,0,0,0,,0
1974,Poland,-,70,0,0,0,0,0,0,,0
1974,Romania,-,70,0,0,0,0,0,0,,0
1974,"South Africa",-,1380,0,0,0,0,0,0,,0
1974,"Russian Federation",-,80,0,0,0,0,0,0,,0
1974,Rwanda,-,178260,0,330,0,0,0,0,,0
1974,"Serbia and Kosovo: S/RES/1244 (1999)",-,120,0,0,0,0,0,0,,0
1974,Spain,-,210,0,0,0,0,0,0,,0
1974,Sudan,-,11770,0,380,0,0,0,0,,0
1974,"United Rep. of Tanzania",-,320,0,0,0,0,0,0,,0
1974,Uganda,-,2630,0,0,0,0,0,0,,0
1974,Uruguay,-,3000,0,0,0,0,0,0,,0
1974,Zambia,-,4000,0,0,0,0,0,0,,0
1974,Tibetan,-,68000,0,0,0,0,0,0,,0
1974,"Unknown ",-,1822433,0,90,0,0,0,0,,0
1975,Albania,-,380,0,0,0,0,0,0,,0
1975,Angola,-,501830,0,0,0,0,0,0,,0
1975,Burundi,-,141940,0,0,0,0,0,0,,0
1975,"Bolivia (Plurinational State of)",-,90,0,0,0,0,0,0,,0
1975,Bulgaria,-,300,0,0,0,0,0,0,,0
1975,Cambodia,-,18830,0,80,0,0,0,0,,0
1975,Chile,-,15350,0,0,0,0,0,0,,0
1975,Congo,-,110,0,0,0,0,0,0,,0
1975,"Dem. Rep. of the Congo",-,39410,0,0,0,0,0,0,,0
1975,Czechia,-,50,0,0,0,0,0,0,,0
1975,"Equatorial Guinea",-,90000,0,0,0,0,0,0,,0
1975,Ethiopia,-,91410,0,0,0,0,0,0,,0
1975,Guinea-Bissau,-,46000,0,41240,0,0,0,0,,0
1975,Greece,-,510,0,0,0,0,0,0,,0
1975,Guinea,-,300000,0,0,0,0,0,0,,0
1975,Hungary,-,140,0,0,0,0,0,0,,0
1975,Kenya,-,90,0,0,0,0,0,0,,0
1975,"Lao People's Dem. Rep.",-,55510,0,0,0,0,0,0,,0
1975,Lesotho,-,310,0,0,0,0,0,0,,0
1975,Malawi,-,30350,0,0,0,0,0,0,,0
1975,Mozambique,-,34750,0,46740,0,0,0,0,,0
1975,Namibia,-,3970,0,170,0,0,0,0,,0
1975,Poland,-,60,0,0,0,0,0,0,,0
1975,Romania,-,70,0,0,0,0,0,0,,0
1975,"South Africa",-,1360,0,0,0,0,0,0,,0
1975,"Russian Federation",-,70,0,0,0,0,0,0,,0
1975,Rwanda,-,175720,0,50,0,0,0,0,,0
1975,"Serbia and Kosovo: S/RES/1244 (1999)",-,120,0,0,0,0,0,0,,0
1975,Somalia,-,110,0,0,0,0,0,0,,0
1975,Spain,-,140,0,0,0,0,0,0,,0
1975,"Viet Nam",-,2110,0,100,0,0,0,0,,0
1975,Sudan,-,11000,0,0,0,0,0,0,,0
1975,Uganda,-,2510,0,0,0,0,0,0,,0
1975,Uruguay,-,570,0,0,0,0,0,0,,0
1975,"Western Sahara",-,20000,0,0,0,0,0,0,,0
1975,Zambia,-,750,0,0,0,0,0,0,,0
1975,Zimbabwe,-,14720,0,580,0,0,0,0,,0
1975,Tibetan,-,8200,0,0,0,0,0,0,,0
1975,"Unknown ",-,1920594,0,160,0,0,0,0,,0
1976,Angola,-,499190,0,0,0,0,0,0,,0
1976,Burundi,-,152320,0,0,0,0,0,0,,0
1976,Benin,-,100,0,0,0,0,0,0,,0
1976,"Bolivia (Plurinational State of)",-,60,0,0,0,0,0,0,,0
1976,Cambodia,-,17200,0,0,0,0,0,0,,0
1976,Chile,-,2670,0,0,0,0,0,0,,0
1976,"Dem. Rep. of the Congo",-,44070,0,0,0,0,0,0,,0
1976,"Equatorial Guinea",-,90000,0,0,0,0,0,0,,0
1976,Ethiopia,-,105700,0,0,0,0,0,0,,0
1976,Palestinian,-,3200,0,0,0,0,0,0,,0
1976,Guinea-Bissau,-,37000,0,9000,0,0,0,0,,0
1976,Greece,-,450,0,0,0,0,0,0,,0
1976,Guinea,-,500000,0,0,0,0,0,0,,0
1976,Hungary,-,50,0,0,0,0,0,0,,0
1976,"Lao People's Dem. Rep.",-,62720,0,0,0,0,0,0,,0
1976,Malawi,-,60,0,0,0,0,0,0,,0
1976,Mozambique,-,580,0,3760,0,0,0,0,,0
1976,Namibia,-,9020,0,0,0,0,0,0,,0
1976,Poland,-,50,0,0,0,0,0,0,,0
1976,"South Africa",-,2180,0,0,0,0,0,0,,0
1976,"Russian Federation",-,60,0,0,0,0,0,0,,0
1976,Rwanda,-,176410,0,430,0,0,0,0,,0
1976,Somalia,-,50,0,0,0,0,0,0,,0
1976,Spain,-,510,0,0,0,0,0,0,,0
1976,"Viet Nam",-,4000,0,0,0,0,0,0,,0
1976,Sudan,-,10600,0,0,0,0,0,0,,0
1976,"United Rep. of Tanzania",-,90,0,0,0,0,0,0,,0
1976,Uganda,-,3250,0,0,0,0,0,0,,0
1976,Uruguay,-,1160,0,0,0,0,0,0,,0
1976,"Western Sahara",-,35000,0,0,0,0,0,0,,0
1976,Zambia,-,750,0,0,0,0,0,0,,0
1976,Zimbabwe,-,31220,0,0,0,0,0,0,,0
1976,Tibetan,-,8300,0,0,0,0,0,0,,0
1976,"Unknown ",-,2472611,0,70,0,0,0,0,,0
1977,Albania,-,2000,0,0,0,0,0,0,,0
1977,Angola,-,529830,0,0,0,0,0,0,,0
1977,Armenia,-,440,0,0,0,0,0,0,,0
1977,Burundi,-,153550,0,0,0,0,0,0,,0
1977,Cambodia,-,76710,0,0,0,0,0,0,,0
1977,Chile,-,3000,0,0,0,0,0,0,,0
1977,"Dem. Rep. of the Congo",-,264940,0,470,0,0,0,0,,0
1977,Cyprus,-,700,0,0,0,0,0,0,,0
1977,"Equatorial Guinea",-,120000,0,0,0,0,0,0,,0
1977,Ethiopia,-,655350,0,1150,0,0,0,0,,0
1977,Guinea-Bissau,-,5000,0,0,0,0,0,0,,0
1977,Greece,-,410,0,0,0,0,0,0,,0
1977,Guinea,-,3000,0,0,0,0,0,0,,0
1977,Kenya,-,1200,0,0,0,0,0,0,,0
1977,"Lao People's Dem. Rep.",-,78970,0,0,0,0,0,0,,0
1977,Lesotho,-,90,0,0,0,0,0,0,,0
1977,Malawi,-,1050,0,0,0,0,0,0,,0
1977,Mozambique,-,120,0,0,0,0,0,0,,0
1977,Namibia,-,12930,0,0,0,0,0,0,,0
1977,Philippines,-,90000,0,0,0,0,0,0,,0
1977,"South Africa",-,2395,0,0,0,0,0,0,,0
1977,"Russian Federation",-,50,0,0,0,0,0,0,,0
1977,Rwanda,-,169780,0,0,0,0,0,0,,0
1977,Somalia,-,60,0,0,0,0,0,0,,0
1977,"Viet Nam",-,14380,0,0,0,0,0,0,,0
1977,Sudan,-,10850,0,0,0,0,0,0,,0
1977,"United Rep. of Tanzania",-,300,0,0,0,0,0,0,,0
1977,Türkiye,-,70,0,0,0,0,0,0,,0
1977,Uganda,-,8000,0,0,0,0,0,0,,0
1977,"Western Sahara",-,50000,0,0,0,0,0,0,,0
1977,Zimbabwe,-,76520,0,0,0,0,0,0,,0
1977,Tibetan,-,8400,0,0,0,0,0,0,,0
1977,"Unknown ",-,2178564,0,160,0,0,0,0,,0
1978,Albania,-,1980,0,0,0,0,0,0,,0
1978,Angola,-,646110,0,33530,0,0,0,0,,0
1978,Egypt,-,50,0,0,0,0,0,0,,0
1978,Armenia,-,420,0,0,0,0,0,0,,0
1978,Burundi,-,148180,0,400,0,0,0,0,,0
1978,Benin,-,200,0,0,0,0,0,0,,0
1978,Bulgaria,-,290,0,0,0,0,0,0,,0
1978,Cambodia,-,165120,0,0,0,0,0,0,,0
1978,Chile,-,3130,0,0,0,0,0,0,,0
1978,"Dem. Rep. of the Congo",-,151560,0,140520,0,0,0,0,,0
1978,"Dominican Rep.",-,50,0,0,0,0,0,0,,0
1978,"Equatorial Guinea",-,90000,0,0,0,0,0,0,,0
1978,Ethiopia,-,887670,0,8970,0,0,0,0,,0
1978,Guinea-Bissau,-,5000,0,0,0,0,0,0,,0
1978,Greece,-,380,0,0,0,0,0,0,,0
1978,Haiti,-,300,0,0,0,0,0,0,,0
1978,Hungary,-,120,0,0,0,0,0,0,,0
1978,Indonesia,-,1000,0,0,0,0,0,0,,0
1978,Iraq,-,560,0,0,0,0,0,0,,0
1978,Kenya,-,80,0,0,0,0,0,0,,0
1978,"Lao People's Dem. Rep.",-,119180,0,0,0,0,0,0,,0
1978,Lesotho,-,160,0,0,0,0,0,0,,0
1978,Malawi,-,310,0,0,0,0,0,0,,0
1978,Mozambique,-,130,0,0,0,0,0,0,,0
1978,Myanmar,-,160000,0,36000,0,0,0,0,,0
1978,Namibia,-,35760,0,100,0,0,0,0,,0
1978,Nicaragua,-,144800,0,0,0,0,0,0,,0
1978,Philippines,-,92000,0,0,0,0,0,0,,0
1978,Poland,-,50,0,0,0,0,0,0,,0
1978,Romania,-,60,0,0,0,0,0,0,,0
1978,"South Africa",-,3840,0,380,0,0,0,0,,0
1978,"Russian Federation",-,50,0,0,0,0,0,0,,0
1978,Rwanda,-,175110,0,0,0,0,0,0,,0
1978,"Serbia and Kosovo: S/RES/1244 (1999)",-,4200,0,0,0,0,0,0,,0
1978,Somalia,-,90,0,0,0,0,0,0,,0
1978,"Viet Nam",-,124210,0,0,0,0,0,0,,0
1978,Sudan,-,10850,0,0,0,0,0,0,,0
1978,"United Rep. of Tanzania",-,300,0,0,0,0,0,0,,0
1978,Türkiye,-,60,0,0,0,0,0,0,,0
1978,Uganda,-,8820,0,30000,0,0,0,0,,0
1978,"Western Sahara",-,50000,0,0,0,0,0,0,,0
1978,Yemen,-,15000,0,0,0,0,0,0,,0
1978,Zimbabwe,-,163160,0,11600,0,0,0,0,,0
1978,Tibetan,-,8500,0,0,0,0,0,0,,0
1978,"Unknown ",-,1847004,0,750,0,0,0,0,,0
1979,Afghanistan,-,500000,0,0,0,0,0,0,,0
1979,Albania,-,1610,0,0,0,0,0,0,,0
1979,Angola,-,652980,0,51350,0,0,0,0,,0
1979,Armenia,-,700,0,0,0,0,0,0,,0
1979,Burundi,-,151680,0,0,0,0,0,0,,0
1979,Benin,-,200,0,0,0,0,0,0,,0
1979,Cambodia,-,51100,0,120000,0,0,0,0,,0
1979,Chad,-,10000,0,0,0,0,0,0,,0
1979,Chile,-,3130,0,0,0,0,0,0,,0
1979,"Dem. Rep. of the Congo",-,70450,0,82910,0,0,0,0,,0
1979,Cuba,-,3560,0,0,0,0,0,0,,0
1979,"Equatorial Guinea",-,40000,0,30250,0,0,0,0,,0
1979,Eritrea,-,400,0,0,0,0,0,0,,0
1979,Ethiopia,-,1623870,0,20900,0,0,0,0,,0
1979,Guinea-Bissau,-,5000,0,0,0,0,0,0,,0
1979,Greece,-,360,0,0,0,0,0,0,,0
1979,Haiti,-,3300,0,0,0,0,0,0,,0
1979,Indonesia,-,1000,0,0,0,0,0,0,,0
1979,Iraq,-,31000,0,0,0,0,0,0,,0
1979,Kenya,-,80,0,0,0,0,0,0,,0
1979,"Lao People's Dem. Rep.",-,128770,0,0,0,0,0,0,,0
1979,Lesotho,-,160,0,70,0,0,0,0,,0
1979,Malawi,-,460,0,0,0,0,0,0,,0
1979,Mozambique,-,370,0,0,0,0,0,0,,0
1979,Myanmar,-,0,0,150680,0,0,0,0,,0
1979,Namibia,-,40580,0,60,0,0,0,0,,0
1979,Nicaragua,-,16600,0,88130,0,0,0,0,,0
1979,Philippines,-,90000,0,0,0,0,0,0,,0
1979,"South Africa",-,7280,0,260,0,0,0,0,,0
1979,Rwanda,-,176540,0,0,0,0,0,0,,0
1979,Somalia,-,90,0,0,0,0,0,0,,0
1979,"Viet Nam",-,397290,0,760,0,0,0,0,,0
1979,Sudan,-,10850,0,0,0,0,0,0,,0
1979,"Syrian Arab Rep.",-,500,0,0,0,0,0,0,,0
1979,"United Rep. of Tanzania",-,600,0,0,0,0,0,0,,0
1979,Türkiye,-,60,0,0,0,0,0,0,,0
1979,Uganda,-,88710,0,24790,0,0,0,0,,0
1979,"Western Sahara",-,50000,0,0,0,0,0,0,,0
1979,Yemen,-,15000,0,0,0,0,0,0,,0
1979,Zambia,-,1000,0,0,0,0,0,0,,0
1979,Zimbabwe,-,197640,0,0,0,0,0,0,,0
1979,Tibetan,-,8600,0,0,0,0,0,0,,0
1979,"Unknown ",-,1898392,0,1080,0,0,0,0,,0
1980,Afghanistan,-,1734921,0,0,0,0,0,0,,0
1980,Albania,-,1681,0,0,0,0,0,0,,0
1980,Angola,-,449030,0,200110,0,0,0,0,,0
1980,Argentina,-,38,0,0,0,0,0,0,,0
1980,Armenia,-,333,0,0,0,0,0,0,,0
1980,Burundi,-,169770,0,310,0,0,0,0,,0
1980,"Bolivia (Plurinational State of)",-,170,0,0,0,0,0,0,,0
1980,Brazil,-,5,0,0,0,0,0,0,,0
1980,Bulgaria,-,329,0,0,0,0,0,0,,0
1980,Cambodia,-,192843,0,194940,0,0,0,0,,0
1980,Chad,-,221000,0,0,0,0,0,0,,0
1980,China,-,24,0,0,0,0,0,0,,0
1980,Chile,-,1505,0,0,0,0,0,0,,0
1980,Congo,-,6,0,0,0,0,0,0,,0
1980,"Dem. Rep. of the Congo",-,116750,0,1000,0,0,0,0,,0
1980,Cuba,-,1695,0,0,0,0,0,0,,0
1980,Czechia,-,393,0,0,0,0,0,0,,0
1980,"Equatorial Guinea",-,38000,0,10000,0,0,0,0,,0
1980,Eritrea,-,542,0,0,0,0,0,0,,0
1980,Ethiopia,-,2567998,0,10000,0,0,0,0,,0
1980,Guinea-Bissau,-,5000,0,0,0,0,0,0,,0
1980,Greece,-,340,0,0,0,0,0,0,,0
1980,Guatemala,-,750,0,0,0,0,0,0,,0
1980,Haiti,-,3800,0,0,0,0,0,0,,0
1980,Hungary,-,763,0,0,0,0,0,0,,0
1980,Indonesia,-,1000,0,0,0,0,0,0,,0
1980,"Iran (Islamic Rep. of)",-,48,0,0,0,0,0,0,,0
1980,Iraq,-,31098,0,0,0,0,0,0,,0
1980,"Lao People's Dem. Rep.",-,105256,0,9000,0,0,0,0,,0
1980,Libya,-,205,0,0,0,0,0,0,,0
1980,Lesotho,-,70,0,0,0,0,0,0,,0
1980,Malawi,-,420,0,0,0,0,0,0,,0
1980,Mozambique,-,120,0,0,0,0,0,0,,0
1980,Namibia,-,55620,0,0,0,0,0,0,,0
1980,Nicaragua,-,960,0,15000,0,0,0,0,,0
1980,Philippines,-,90000,0,0,0,0,0,0,,0
1980,Poland,-,471,0,0,0,0,0,0,,0
1980,Romania,-,772,0,0,0,0,0,0,,0
1980,"South Africa",-,24250,0,0,0,0,0,0,,0
1980,"Russian Federation",-,10821,0,0,0,0,0,0,,0
1980,Rwanda,-,286650,0,0,0,0,0,0,,0
1980,"El Salvador",-,91630,0,0,0,0,0,0,,0
1980,"Serbia and Kosovo: S/RES/1244 (1999)",-,270,0,0,0,0,0,0,,0
1980,Somalia,-,134,0,0,0,0,0,0,,0
1980,Spain,-,5,0,0,0,0,0,0,,0
1980,"Viet Nam",-,346928,0,50760,0,0,0,0,,0
1980,Sudan,-,10850,0,0,0,0,0,0,,0
1980,"Syrian Arab Rep.",-,500,0,0,0,0,0,0,,0
1980,"United Rep. of Tanzania",-,300,0,0,0,0,0,0,,0
1980,Uganda,-,224301,0,33200,0,0,0,0,,0
1980,Uruguay,-,24,0,0,0,0,0,0,,0
1980,"Western Sahara",-,50000,0,0,0,0,0,0,,0
1980,Yemen,-,15000,0,0,0,0,0,0,,0
1980,Zambia,-,1210,0,0,0,0,0,0,,0
1980,Zimbabwe,-,160,0,250000,0,0,0,0,,0
1980,Stateless,-,8,0,0,0,0,0,0,,0
1980,Tibetan,-,8700,0,0,0,0,0,0,,0
1980,"Unknown ",-,1589450,0,490,0,0,0,0,,0
1981,Afghanistan,-,3879984,0,0,0,0,0,0,,0
1981,Albania,-,1680,0,0,0,0,0,0,,0
1981,Algeria,-,5,0,0,0,0,0,0,,0
1981,Angola,-,457060,0,0,0,0,0,0,,0
1981,Egypt,-,5,0,0,0,0,0,0,,0
1981,Argentina,-,38,0,0,0,0,0,0,,0
1981,Armenia,-,333,0,0,0,0,0,0,,0
1981,Burundi,-,182950,0,50,0,0,0,0,,0
1981,"Bolivia (Plurinational State of)",-,100,0,0,0,0,0,0,,0
1981,Brazil,-,5,0,0,0,0,0,0,,0
1981,Bulgaria,-,274,0,0,0,0,0,0,,0
1981,Cambodia,-,135077,0,10500,0,0,0,0,,0
1981,Chad,-,234260,0,113140,0,0,0,0,,0
1981,China,-,24,0,0,0,0,0,0,,0
1981,Chile,-,1885,0,0,0,0,0,0,,0
1981,Congo,-,6,0,0,0,0,0,0,,0
1981,"Dem. Rep. of the Congo",-,118970,0,400,0,0,0,0,,0
1981,Colombia,-,50,0,0,0,0,0,0,,0
1981,Cuba,-,2705,0,0,0,0,0,0,,0
1981,Czechia,-,389,0,0,0,0,0,0,,0
1981,"Equatorial Guinea",-,18000,0,0,0,0,0,0,,0
1981,Eritrea,-,1542,0,300,0,0,0,0,,0
1981,Ethiopia,-,1363266,0,26420,0,0,0,0,,0
1981,Guinea-Bissau,-,4000,0,0,0,0,0,0,,0
1981,Greece,-,320,0,0,0,0,0,0,,0
1981,Guatemala,-,1910,0,0,0,0,0,0,,0
1981,Haiti,-,5000,0,0,0,0,0,0,,0
1981,Hungary,-,744,0,0,0,0,0,0,,0
1981,Indonesia,-,150,0,0,0,0,0,0,,0
1981,"Iran (Islamic Rep. of)",-,803,0,0,0,0,0,0,,0
1981,Iraq,-,66589,0,0,0,0,0,0,,0
1981,"Lao People's Dem. Rep.",-,89990,0,2940,0,0,0,0,,0
1981,Libya,-,226,0,0,0,0,0,0,,0
1981,Lesotho,-,80,0,0,0,0,0,0,,0
1981,Malawi,-,70,0,0,0,0,0,0,,0
1981,Mozambique,-,5170,0,0,0,0,0,0,,0
1981,Namibia,-,74520,0,0,0,0,0,0,,0
1981,Nicaragua,-,2500,0,0,0,0,0,0,,0
1981,Philippines,-,90000,0,0,0,0,0,0,,0
1981,Poland,-,505,0,0,0,0,0,0,,0
1981,Romania,-,854,0,0,0,0,0,0,,0
1981,"South Africa",-,24900,0,0,0,0,0,0,,0
1981,"Russian Federation",-,11562,0,0,0,0,0,0,,0
1981,Rwanda,-,277010,0,7210,0,0,0,0,,0
1981,"El Salvador",-,304810,0,50,0,0,0,0,,0
1981,"Serbia and Kosovo: S/RES/1244 (1999)",-,214,0,0,0,0,0,0,,0
1981,Somalia,-,34,0,0,0,0,0,0,,0
1981,Spain,-,5,0,0,0,0,0,0,,0
1981,"Viet Nam",-,312548,0,27180,0,0,0,0,,0
1981,Sudan,-,5350,0,130,0,0,0,0,,0
1981,"Syrian Arab Rep.",-,505,0,0,0,0,0,0,,0
1981,"United Rep. of Tanzania",-,3000,0,0,0,0,0,0,,0
1981,Uganda,-,176691,0,42250,0,0,0,0,,0
1981,Uruguay,-,24,0,0,0,0,0,0,,0
1981,"Western Sahara",-,165000,0,0,0,0,0,0,,0
1981,Zambia,-,1200,0,0,0,0,0,0,,0
1981,Zimbabwe,-,190,0,0,0,0,0,0,,0
1981,Stateless,-,29,0,0,0,0,0,0,,0
1981,Tibetan,-,8800,0,0,0,0,0,0,,0
1981,"Unknown ",-,1680386,0,6580,0,0,0,0,,0
1982,Afghanistan,-,4488214,0,540,0,0,0,0,,0
1982,Albania,-,1645,0,0,0,0,0,0,,0
1982,Algeria,-,5,0,0,0,0,0,0,,0
1982,Angola,-,465890,0,13370,0,0,0,0,,0
1982,Egypt,-,5,0,0,0,0,0,0,,0
1982,Argentina,-,1019,0,0,0,0,0,0,,0
1982,Armenia,-,733,0,0,0,0,0,0,,0
1982,Burundi,-,176270,0,0,0,0,0,0,,0
1982,"Bolivia (Plurinational State of)",-,270,0,470,0,0,0,0,,0
1982,Brazil,-,5,0,0,0,0,0,0,,0
1982,Bulgaria,-,257,0,0,0,0,0,0,,0
1982,Cambodia,-,123398,0,0,0,0,0,0,,0
1982,"Central African Rep.",-,15000,0,0,0,0,0,0,,0
1982,Chad,-,17010,0,153940,0,0,0,0,,0
1982,China,-,104,0,0,0,0,0,0,,0
1982,Chile,-,2483,0,130,0,0,0,0,,0
1982,Congo,-,6,0,0,0,0,0,0,,0
1982,"Dem. Rep. of the Congo",-,92455,0,0,0,0,0,0,,0
1982,Colombia,-,100,0,0,0,0,0,0,,0
1982,Cuba,-,655,0,0,0,0,0,0,,0
1982,Czechia,-,494,0,0,0,0,0,0,,0
1982,"Equatorial Guinea",-,18000,0,0,0,0,0,0,,0
1982,Eritrea,-,1585,0,0,0,0,0,0,,0
1982,Ethiopia,-,1334915,0,80000,0,0,0,0,,0
1982,Palestinian,-,9800,0,0,0,0,0,0,,0
1982,Ghana,-,310,0,0,0,0,0,0,,0
1982,Guinea-Bissau,-,5000,0,0,0,0,0,0,,0
1982,Greece,-,300,0,0,0,0,0,0,,0
